date,title
2025-05-14 07:00:00,Verbraucherpreisindex und Inflationsrate - Statistisches Bundesamt
2025-05-21 08:00:00,Wirtschaftsweise: Drittes schlechtes Jahr für die deutsche Wirtschaft - SZ.de
2025-05-21 09:02:31,Deutsche Bank Aktie News: Deutsche Bank zeigt sich am Dienstagmittag freundlich - Finanzen.net
2025-05-19 11:15:24,EU senkt Prognose für deutsche Wirtschaft - ZDF
2025-05-21 09:01:03,Wirtschaftsweise kassieren Prognose: Null-Wachstum in Deutschland - BILD
2025-04-30 07:00:00,Leichtes Wachstum für die deutsche Wirtschaft - tagesschau.de
2025-05-19 15:12:18,EU-Regeln sollen deutsche Investitionen nicht bremsen - FAZ.NET
2025-05-13 14:37:38,Traineeprogramm (Master) - Deutsche Bundesbank
2025-05-20 12:09:00,Dax auf Rekordhoch: Das sind die 10 besten Aktienfonds - das investment
2025-05-20 07:49:00,Börse: Dax überschreitet erstmals 24.000 Punkte - Spiegel
2025-05-20 09:26:02,Dax-Kurs aktuell: Dax schafft 24.000 Punkte – aber vielleicht nicht mehr - WirtschaftsWoche
2025-05-21 16:00:00,Dax: Diese vier Aktien haben den deutschen Leitindex auf neuen Rekordstand getrieben - Cash
2025-05-21 08:00:46,DAX 40-Titel Continental-Aktie: So viel Gewinn hätte eine Investition in Continental von vor 3 Jahren abgeworfen - Finanzen.net
2025-05-16 07:16:00,Wie Merz die deutsche Wirtschaft aus der Krise holen will - tagesschau.de
2024-09-19 07:00:00,Monatsbericht: Schwächephase der deutschen Konjunktur hält an - Deutsche Bundesbank
2025-05-21 08:23:28,Deutsche Bank Aktie News: Deutsche Bank am Vormittag stärker - Finanzen.net
2025-04-23 13:07:28,Bundesbank Unplugged - Deutsche Bundesbank
2025-05-21 08:00:46,DAX 40-Wert Rheinmetall-Aktie: So viel Gewinn hätte eine Rheinmetall-Investition von vor einem Jahr eingebracht - Finanzen.net
2025-03-27 07:00:00,Volkswirtschaft und Gleich­stellung: Das Vo‑Frauennetzwerk der Bundesbank - Deutsche Bundesbank
2025-05-21 08:00:46,MDAX-Wert Deutsche Wohnen SE-Aktie: So viel Verlust hätte ein Deutsche Wohnen SE-Investment von vor 3 Jahren eingefahren - Finanzen.net
2024-08-20 07:00:00,Monatsbericht: Deutsche Wirtschaft kämpft weiter mit Gegenwind - Deutsche Bundesbank
2025-05-19 09:31:28,Stagnation droht in Deutschland: EU senkt Konjunkturprognose - FAZ.NET
2025-05-19 10:02:06,Inflation soll zurückgehen: EU kappt Wachstumsprognose - Deutsche Wirtschaft stagniert - N-TV
2025-05-12 07:00:00,Marktbericht: Rückgang der US-Inflation treibt Tech-Werte an - tagesschau.de
2025-05-20 03:27:24,Deutsche Bank Aktie News: Deutsche Bank am Montagnachmittag höher - Finanzen.net
2025-05-21 08:03:42,DAX 40-Titel Deutsche Telekom-Aktie: So viel Gewinn hätte eine Deutsche Telekom-Investition von vor 3 Jahren eingebracht - finanzen.at
2025-05-19 12:48:39,Aktien Frankfurt: Dax stabil nach Höhenflug - Finanzen.net
2025-05-20 17:02:13,Dax auf Rekordhoch: Lohnt sich jetzt ein EFT-Wechsel? - FAZ.NET
2025-05-19 07:13:39,Aktien Frankfurt Eröffnung: Verschnaufpause für den Dax - Finanzen.net
2025-05-21 08:02:16,DAX 40-Papier RWE-Aktie: So viel Verlust hätte eine Investition in RWE von vor einem Jahr bedeutet - finanzen.ch
2025-05-21 08:02:16,DAX 40-Papier Rheinmetall-Aktie: So viel Gewinn hätte eine Investition in Rheinmetall von vor einem Jahr abgeworfen - finanzen.ch
2025-05-19 10:04:39,Aktien Frankfurt: Atempause für den Dax nach Rekordhoch - Finanzen.net
2024-09-03 07:00:00,Neue Geschäftsverteilung im Vorstand der Bundesbank - Deutsche Bundesbank
2025-05-19 09:16:26,Wirtschaftsprognose: Deutsche Wirtschaft stagniert weiter – Europa mit leichtem Wachstum - T-Online
2025-01-20 11:10:28,Monitoring und Observability Expert*in - Deutsche Bundesbank
